problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170606T123346836976, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:54, 5732.186147, -1.000000, 361.690323, False, 10, 15, 983.228517, 1035.146218 
20170606T123346836976, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:33:57, 5300.768517, -1.000000, 365.810550, False, 15, 10, 1289.999996, 2900.456231 
20170606T123654604464, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:30:50, 8156.752201, -1.000000, 371.805187, False, 31, 19, 2699.999976, 8406.891622 
20170606T123346836976, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:07, 5126.283547, -1.000000, 377.714706, False, 17, 8, 1409.999999, 7097.516914 
20170608T122058404415, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:34:13, 1380.939185, -1.000000, 377.967749, False, 2, 8, 180.000000, 163.151275 
20170608T122058404415, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:34:13, 1367.785350, -1.000000, 378.291518, False, 4, 6, 330.000000, 548.090431 
20170608T122058404415, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:34:13, 1367.785350, -1.000000, 378.599656, False, 4, 6, 360.000000, 467.482600 
20170608T122058404415, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:34:13, 1367.785350, -1.000000, 378.881600, False, 4, 6, 300.000000, 598.107983 
20170606T123346836976, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:01, 5294.860665, -1.000000, 379.042561, False, 15, 10, 1259.999999, 4713.412670 
20170606T113603010160, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:14, 8299.367824, -1.000000, 379.433127, False, 9, 16, 802.548481, 2107.173341 
20170606T113603010160, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:14, 7915.101541, -1.000000, 379.890325, False, 11, 14, 955.301900, 2475.664847 
20170606T113603010160, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:14, 7448.106203, -1.000000, 380.360366, False, 14, 11, 1170.000000, 6079.768337 
20170606T113603010160, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:15, 7374.993265, -1.000000, 380.775257, False, 15, 10, 1230.000000, 6250.220985 
20170606T181907372750, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:34:15, 12601.429562, -1.000000, 385.223748, False, 19, 31, 1707.279835, 2639.707857 
20170606T181907372750, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:34:16, 11869.183354, -1.000000, 387.284036, False, 30, 20, 3076.703834, 7234.159309 
20170606T123513473544, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:33:38, 8332.195118, -1.000000, 387.327086, False, 29, 21, 2609.999999, 7544.179480 
20170606T113038113409, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:22, 8730.338909, -1.000000, 388.088770, False, 11, 14, 960.000000, 2903.370198 
20170606T113038113409, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:23, 7639.558857, -1.000000, 389.193011, False, 15, 10, 1320.000000, 3343.363928 
20170606T113038113409, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:24, 7584.586080, -1.000000, 392.966715, False, 17, 8, 1439.999999, 4428.643022 
20170606T181907372750, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:34:20, 11478.493227, -1.000000, 424.973405, False, 29, 21, 2610.000000, 8940.430013 
20170606T113038113409, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:34:28, 5963.622810, -1.000000, 435.914677, False, 19, 6, 1709.999999, 6817.740231 
20170606T123800566693, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:35:00, 8033.535094, -1.000000, 448.892955, False, 16, 34, 1475.565543, 936.609397 
20170606T181907372750, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:34:22, 11162.785779, -1.000000, 475.985026, False, 31, 19, 2790.000000, 12478.073586 
20170606T123513473544, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:32:58, 8460.874287, -1.000000, 504.761074, False, 27, 23, 2468.834606, 4167.883804 
20170606T123231190878, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:36:20, 5293.677513, -1.000000, 507.285071, False, 11, 14, 1110.538747, 751.173474 
20170606T123231190878, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:36:22, 5243.800073, -1.000000, 511.240480, False, 15, 10, 1336.314451, 3032.827447 
20170606T123800566693, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:35:11, 7481.144268, -1.000000, 583.450751, False, 30, 20, 2657.311016, 4612.865051 
